range_m,freq_hz,TL_db
500,6093.75,54.23749388845322
500,6125.0,54.23957753723163
500,6156.25,54.24167118700024
500,6187.5,54.243774836182126
500,6218.75,54.245888483078204
500,6250.0,54.24801212586998
500,6281.25,54.250145762622196
500,6312.5,54.25228939128543
500,6343.75,54.25444300969856
500,6375.0,54.25660661559118
500,6406.25,54.25878020658595
500,6437.5,54.26096378020087
500,6468.75,54.26315733385142
500,6500.0,54.265360864852774
500,6531.25,54.26757437042179
500,6562.5,54.26979784767905
500,6593.75,54.27203129365078
500,6625.0,54.27427470527072
500,6656.25,54.276528079382004
500,6687.5,54.278791412738855
500,6718.75,54.281064702008344
500,6750.0,54.283347943772064
500,6781.25,54.28564113452773
500,6812.5,54.28794427069072
500,6843.75,54.29025734859569
500,6875.0,54.29258036449793
500,6906.25,54.29491331457492
500,6937.5,54.297256194927634
500,6968.75,54.29960900158195
500,7000.0,54.30197173048996
500,7031.25,54.30434437753122
500,7062.5,54.30672693851404
500,7093.75,54.309119409176645
500,7125.0,54.311521785188404
500,7156.25,54.31393406215091
500,7187.5,54.316356235599166
500,7218.75,54.318788301002584
500,7250.0,54.321230253766124
500,7281.25,54.323682089231234
500,7312.5,54.32614380267691
500,7343.75,54.328615389320625
500,7375.0,54.33109684431929
500,7406.25,54.33358816277018
500,7437.5,54.33608933971178
500,7468.75,54.33860037012476
500,7500.0,54.34112124893267
500,7531.25,54.34365197100292
500,7562.5,54.34619253114747
500,7593.75,54.34874292412369
500,7625.0,54.351303144635054
500,7656.25,54.353873187331956
500,7687.5,54.35645304681238
500,7718.75,54.35904271762264
500,7750.0,54.361642194258046
500,7781.25,54.364251471163605
500,7812.5,54.36687054273464
500,7843.75,54.36949940331747
500,7875.0,54.37213804720999
500,7906.25,54.37478646866232
500,7937.5,54.37744466187739
500,7968.75,54.3801126210115
500,8000.0,54.38279034017489
500,8031.25,54.38547781343234
500,8062.5,54.38817503480363
500,8093.75,54.39088199826414
500,8125.0,54.39359869774532
500,8156.25,54.39632512713521
500,8187.5,54.39906128027894
500,8218.75,54.40180715097919
500,8250.0,54.404562732996666
500,8281.25,54.407328020050585
500,8312.5,54.41010300581908
500,8343.75,54.412887683939665
500,8375.0,54.41568204800968
500,8406.25,54.41848609158666
500,8437.5,54.4212998081888
500,8468.75,54.42412319129532
500,8500.0,54.42695623434689
500,8531.25,54.42979893074598
500,8562.5,54.43265127385726
500,8593.75,54.43551325700797
500,8625.0,54.43838487348825
500,8656.25,54.44126611655156
500,8687.5,54.444156979414934
500,8718.75,54.44705745525941
500,8750.0,54.4499675372303
500,8781.25,54.45288721843755
500,8812.5,54.45581649195605
500,8843.75,54.458755350825925
500,8875.0,54.46170378805289
500,8906.25,54.464661796608496
500,8937.5,54.467629369430476
500,8968.75,54.470606499423
500,9000.0,54.47359317945697
500,9031.25,54.4765894023703
500,9062.5,54.479595160968195
500,9093.75,54.4826104480234
500,9125.0,54.485635256276495
500,9156.25,54.48866957843612
500,9187.5,54.49171340717925
500,9218.75,54.494766735151444
500,9250.0,54.49782955496708
500,9281.25,54.50090185920962
500,9312.5,54.503983640431805
500,9343.75,54.507074891155916
500,9375.0,54.510175603874
500,9406.25,54.51328577104812
500,9437.5,54.5164053851105
500,9468.75,54.519534438463836
500,9500.0,54.52267292348143
500,9531.25,54.52582083250746
500,9562.5,54.52897815785717
500,9593.75,54.532144891817026
500,9625.0,54.535321026645
500,9656.25,54.5385065545707
500,9687.5,54.541701467795605
500,9718.75,54.54490575849322
500,9750.0,54.5481194188093
500,9781.25,54.551342440862015
500,9812.5,54.55457481674214
500,9843.75,54.55781653851322
500,9875.0,54.561067598211785
500,9906.25,54.56432798784748
500,9937.5,54.56759769940325
500,9968.75,54.57087672483555
500,10000.0,54.574165056074456
500,10031.25,54.577462685023846
500,10062.5,54.580769603561606
500,10093.75,54.58408580353972
500,10125.0,54.587411276784486
500,10156.25,54.590746015096656
500,10187.5,54.59409001025156
500,10218.75,54.59744325399932
500,10250.0,54.60080573806494
500,10281.25,54.6041774541485
500,10312.5,54.60755839392526
500,10343.75,54.610948549045844
500,10375.0,54.61434791113638
500,10406.25,54.6177564717986
500,10437.5,54.62117422261004
500,10468.75,54.62460115512412
500,10500.0,54.628037260870336
500,10531.25,54.63148253135436
500,10562.5,54.63493695805816
500,10593.75,54.638400532440194
500,10625.0,54.641873245935464
500,10656.25,54.6453550899557
500,10687.5,54.648846055889464
500,10718.75,54.6523461351023
500,10750.0,54.65585531893681
500,10781.25,54.65937359871285
500,10812.5,54.662900965727566
500,10843.75,54.66643741125561
500,10875.0,54.669982926549174
500,10906.25,54.67353750283818
500,10937.5,54.67710113133033
500,10968.75,54.680673803211306
500,11000.0,54.684255509644785
500,11031.25,54.68784624177265
500,11062.5,54.69144599071503
500,11093.75,54.695054747570474
500,11125.0,54.698672503416006
500,11156.25,54.70229924930728
500,11187.5,54.705934976278655
500,11218.75,54.709579675343335
500,11250.0,54.713233337493456
500,11281.25,54.7168959537002
500,11312.5,54.72056751491391
500,11343.75,54.72424801206416
500,11375.0,54.72793743605991
500,11406.25,54.731635777789585
500,11437.5,54.73534302812116
500,11468.75,54.73905917790229
500,11500.0,54.74278421796042
500,11531.25,54.746518139102825
500,11562.5,54.75026093211679
500,11593.75,54.75401258776965
500,11625.0,54.75777309680892
500,11656.25,54.76154244996238
500,11687.5,54.76532063793817
500,11718.75,54.76910765142489
500,11750.0,54.7729034810917
500,11781.25,54.776708117588434
500,11812.5,54.780521551545625
500,11843.75,54.78434377357468
500,11875.0,54.788174774267944
500,11906.25,54.792014544198764
500,11937.5,54.79586307392162
500,11968.75,54.79972035397222
500,12000.0,54.803586374867535
